textbox3,textbox7,textbox12,textbox23,textbox10,textbox9,textbox11,textbox8
"Friday, June 6, 2025",All,All,True,All,All,All,All

Location,textbox39,textbox89,AnimalName,Species,PrimaryBreed,textbox90,PrimaryColour,Stage,ReviewDate,StageChangeReason,ARN,textbox61,textbox78,SecondaryBreed,Gender,SecondaryColour,textbox79,SubLocation,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,textbox47
  Cat Isolation 234,5,A0058581979,NORA,Cat,Domestic Shorthair,10y 7m 16d,Black,Hold - Doc,,,,,Small,,F,,,Cage 6,,,,,372
  Cat Isolation 234,5,A0058600235,COCO,Cat,Domestic Shorthair,1y 6m 9d,Black,Hold - For RTO,,,,,Small,,F,,,Cage 2,,,,,372
  Cat Isolation 234,5,A0058639397,KNIGHT,Cat,Domestic Shorthair,4y 7m 11d,Grey,Hold - Behavior,,medically cleared,Midnight,,Small,Mix,M,,,Cage 1,,,,,372
  Cat Isolation 235,6,A0058444304,LAWSON,Cat,Ragdoll,8m 30d,Seal,Hold - Behavior,,medically cleared,24,,Small,Mix,M,,,Cage 7,,,,,372
  Cat Isolation 235,6,A0058610545,,Cat,Domestic Shorthair,,Orange,Hold - Surgery,,HOLD FOR AGENT RELEASE,,,Small,Mix,U,White,,Cage 2,,,,,372
  Cat Isolation 235,6,A0058610562,SAFFRON,Cat,Domestic Shorthair,7y 7d,Orange,Hold - Surgery,,,,,Small,,F,White,,Cage 1,,,,,372
  Cat Isolation 235,6,A0058610564,,Cat,Domestic Shorthair,,Tan,Hold - Surgery,,HOLD FOR AGENT RELEASE,,,Small,Mix,U,White,,Cage 8,,,,,372
  Cat Isolation 235,6,A0058610567,,Cat,Domestic Shorthair,,Tan,Hold - Surgery,,HOLD FOR AGENT RELEASE,,,Small,Mix,U,White,,Cage 9,,,,,372
  Cat Isolation 235,6,A0058610580,,Cat,Domestic Shorthair,,White,Hold - Surgery,,HOLD FOR AGENT RELEASE,,,Small,Mix,U,Orange,,Cage 3,,,,,372
  Cat Treatment,13,A0058540666,SEBASTIAN,Cat,Domestic Shorthair,1m 22d,Brown,Hold - Doc,6/2/2025 1:10 PM,doc recheck,,,Small,Mix,M,,,B,,,,,372
  Cat Treatment,13,A0058578387,,Cat,Domestic Longhair,1m 29d,Brown,Hold - Bite/Scratch,,,,,Small,Mix,F,,,03,,,,,372
  Cat Treatment,13,A0058578389,,Cat,Domestic Longhair,1m 29d,Brown,Hold - Doc,,URI tx/socialization,,,Small,Mix,F,,,03,,,,,372
  Cat Treatment,13,A0058578392,,Cat,Domestic Shorthair,1m 29d,White,Hold - Doc,,URI tx/socialization,,,Small,Mix,M,Grey,,03,,,,,372
  Cat Treatment,13,A0058578394,,Cat,Domestic Shorthair,1m 29d,Brown,Hold - Doc,,URI tx/socialization,,,Small,Mix,M,,,03,,,,,372
  Cat Treatment,13,A0058605925,Luke,Cat,Domestic Longhair,1m 19d,Black,Pending Foster Pickup,,,,,Small,Mix,M,,,01,,,,,372
  Cat Treatment,13,A0058605936,Leia,Cat,Domestic Longhair,1m 19d,Black,Pending Foster Pickup,,,,,Small,Mix,F,,,01,,,,,372
  Cat Treatment,13,A0058619269,,Cat,Domestic Shorthair,1m 16d,Brown,Hold - Doc,,URI - recheck 6/4,,,Small,Mix,F,White,,04,,,,,372
  Cat Treatment,13,A0058650379,,Cat,Domestic Shorthair,12y 1d,Orange,Hold - Stray,6/10/2025 12:01 AM,,Betty,,Small,Mix,F,,,06,,,,,372
  Cat Treatment,13,A0058650503,,Cat,Domestic Shorthair,1m 13d,Black,Hold - Foster,,,,,Small,,M,White,,05,,,,,372
  Cat Treatment,13,A0058650513,,Cat,Domestic Shorthair,1m 13d,Brown,Hold - Foster,,,,,Small,,M,White,,02,,,,,372
  Cat Treatment,13,A0058650521,,Cat,Domestic Shorthair,1m 13d,Orange,Hold - Foster,,,,,Small,,F,White,,05,,,,,372
  Cat Treatment,13,A0058650528,,Cat,Domestic Longhair,1m 13d,Black,Hold - Foster,,,,,Small,,F,Orange,,02,,,,,372
  Dog Adoptions A,8,A0058545061,Peru,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,Brindle,Pending Foster Pickup,,,,,Medium,Mix,F,,,03,,,,,372
